id;nom_voie;id_fantoir;numero;rep;code_insee;code_post;alias;nom_ld;nom_afnor;libelle_acheminement;x;y;lon;lat;nom_commune
ADRNIVX_0000000265766737;rue baron d'huart;0040;10;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905629.2;6917931.2;5.82867647116588;49.327805019496;Mont-Bonvillers
ADRNIVX_0000000265766745;rue baron d'huart;0040;16;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905530.3;6917897.2;5.82730040622097;49.3275314197169;Mont-Bonvillers
ADRNIVX_0000000265766494;rue baron d'huart;0040;3;B;54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905843;6918023.2;5.8316603922804;49.3285626143966;Mont-Bonvillers
ADRNIVX_0000000265766759;rue baron d'huart;0040;5127;"";54084;54111;"";"";RUE BARON D HUART;MONT BONVILLERS;905570.6;6917906.5;5.82785888383311;49.3276019950991;Mont-Bonvillers
ADRNIVX_0000000348586592;rue bernadette;0050;26;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906016.8;6917277.3;5.83368113531218;49.3218059248217;Mont-Bonvillers
ADRNIVX_0000000265767782;rue bernadette;0050;46;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;905997.5;6917238.4;5.83339670809893;49.3214626969319;Mont-Bonvillers
ADRNIVX_0000002003983650;rue bernadette;0050;21;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906021.5;6917285.3;5.83374967372968;49.3218762757185;Mont-Bonvillers
ADRNIVX_0000000265767764;rue bernadette;0050;3;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;905976.9;6917251.4;5.83312002089348;49.321586123363;Mont-Bonvillers
ADRNIVX_0000000265767765;rue bernadette;0050;12;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906033;6917298.5;5.83391422951538;49.3219911466813;Mont-Bonvillers
ADRNIVX_0000000265767780;rue bernadette;0050;42;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906002.5;6917247.4;5.83346986184607;49.321541934615;Mont-Bonvillers
ADRNIVX_0000000265767767;rue bernadette;0050;16;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906028.7;6917291.7;5.83385177996265;49.3219314468827;Mont-Bonvillers
ADRNIVX_0000000265767266;rue bernadette;0050;2;BIS;54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906058;6917322.7;5.83426974341273;49.3222004793807;Mont-Bonvillers
ADRNIVX_0000000265767766;rue bernadette;0050;14;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906031.2;6917295.5;5.83388801208885;49.3219647772338;Mont-Bonvillers
ADRNIVX_0000000265767775;rue bernadette;0050;32;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906013;6917265;5.83362284405084;49.3216966552343;Mont-Bonvillers
ADRNIVX_0000000265767777;rue bernadette;0050;36;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906008.7;6917257.9;5.8335602471806;49.3216342602625;Mont-Bonvillers
ADRNIVX_0000000265767269;rue bernadette;0050;8;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906037.4;6917306;5.83397839891179;49.3220571025275;Mont-Bonvillers
ADRNIVX_0000000265767779;rue bernadette;0050;40;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906004.7;6917251;5.83350187195683;49.3215735651743;Mont-Bonvillers
ADRNIVX_0000000265767774;rue bernadette;0050;30;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906015.4;6917269;5.83365780026328;49.321731814583;Mont-Bonvillers
ADRNIVX_0000000265767768;rue bernadette;0050;18;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906026.9;6917288.4;5.83382541457291;49.3219023824169;Mont-Bonvillers
ADRNIVX_0000000265767770;rue bernadette;0050;22;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906022;6917280.2;5.83375402877404;49.3218302994017;Mont-Bonvillers
ADRNIVX_0000000265767769;rue bernadette;0050;20;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906025;6917284.5;5.83379737888279;49.3218679601917;Mont-Bonvillers
ADRNIVX_0000000265767268;rue bernadette;0050;6;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906039.8;6917310.2;5.83401345430107;49.3220940584281;Mont-Bonvillers
ADRNIVX_0000000265767265;rue bernadette;0050;2;"";54084;54111;"";"";RUE BERNADETTE;MONT BONVILLERS;906042.5;6917314.7;5.83405278064553;49.3221336125508;Mont-Bonvillers
