uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;certification_commune
;54084_0120_00002;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;2;;entrée;905622.17;6917860.48;5.828545;49.327172;;inconnue;;0
;54084_0120_00003;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;3;;entrée;905649.32;6917870.25;5.828923;49.327251;;inconnue;;0
;54084_0120_00004;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;4;;entrée;905654.21;6917871.98;5.828991;49.327265;;inconnue;;0
;54084_0120_00005;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;5;;entrée;905683.18;6917881.7;5.829394;49.327343;;inconnue;;0
;54084_0120_00006;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;6;;entrée;905692.4;6917884.37;5.829522;49.327364;;inconnue;;0
;54084_0120_00007;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;7;;entrée;905717.39;6917893.39;5.82987;49.327437;;inconnue;;0
;54084_0120_00008;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;8;;entrée;905721.99;6917895.01;5.829934;49.32745;;inconnue;;0
;54084_0120_00009;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;9;;entrée;905750.89;6917904.73;5.830336;49.327528;;inconnue;;0
;54084_0120_00010;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;10;;entrée;905756.71;6917906.72;5.830417;49.327544;;inconnue;;0
;54084_0120_00011;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;11;;entrée;905785.42;6917917.65;5.830817;49.327633;;inconnue;;0
;54084_0120_00012;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;12;;entrée;905790.03;6917918.93;5.830881;49.327643;;inconnue;;0
;54084_0120_00013;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;13;;entrée;905834.5;6917937;5.831501;49.327791;;inconnue;;0
;54084_0120_00014;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;14;;entrée;905840.99;6917940.46;5.831592;49.32782;;inconnue;;0
;54084_0120_00015;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;15;;entrée;905854.78;6917947.52;5.831785;49.327879;;inconnue;;0
;54084_0120_00016;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;16;;entrée;905861.33;6917951.43;5.831877;49.327912;;inconnue;;0
;54084_0120_00017;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;17;;entrée;905875.54;6917959.18;5.832076;49.327977;;inconnue;;0
;54084_0120_00018;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;18;;entrée;905882.32;6917962.65;5.832171;49.328006;;inconnue;;0
;54084_0120_00019;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;19;;entrée;905893.52;6917968.95;5.832328;49.328059;;inconnue;;0
;54084_0120_00020;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;20;;entrée;905900.51;6917972.88;5.832426;49.328092;;inconnue;;0
;54084_0120_00021;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;21;;entrée;905912.58;6917981.1;5.832596;49.328162;;inconnue;;0
;54084_0120_00022;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;22;;entrée;905920.49;6917983.72;5.832706;49.328183;;inconnue;;0
;54084_0120_00025;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;25;;entrée;905936.16;6917984.95;5.832922;49.328189;;inconnue;;0
;54084_0120_00026;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;26;;entrée;905931.03;6917981.99;5.83285;49.328164;;inconnue;;0
;54084_0120_00027;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;27;;entrée;905915.33;6917973.52;5.83263;49.328093;;inconnue;;0
;54084_0120_00028;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;28;;entrée;905907.99;6917969.25;5.832527;49.328057;;inconnue;;0
;54084_0120_00029;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;29;;entrée;905895.49;6917962.68;5.832352;49.328002;;inconnue;;0
;54084_0120_00030;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;30;;entrée;905890;6917959.47;5.832275;49.327975;;inconnue;;0
;54084_0120_00031;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;31;;entrée;905874.37;6917951.01;5.832056;49.327904;;inconnue;;0
;54084_0120_00032;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;32;;entrée;905868.88;6917947.92;5.831979;49.327878;;inconnue;;0
;54084_0120_00033;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;33;;entrée;905853.73;6917938.25;5.831766;49.327796;;inconnue;;0
;54084_0120_00034;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;34;;entrée;905849.37;6917935.98;5.831705;49.327777;;inconnue;;0
;54084_0120_00035;54084;Mont-Bonvillers;;;Rue Fonds des Lits;;35;;entrée;905809.91;6917916.53;5.831153;49.327615;;inconnue;;0
